"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CHE","STINT","TOT","PC_PA","Q","1974-Q1",10.84317,
"CHE","STINT","TOT","PC_PA","Q","1974-Q2",9.5197,
"CHE","STINT","TOT","PC_PA","Q","1974-Q3",11.06387,
"CHE","STINT","TOT","PC_PA","Q","1974-Q4",9.234233,
"CHE","STINT","TOT","PC_PA","Q","1975-Q1",5.3969,
"CHE","STINT","TOT","PC_PA","Q","1975-Q2",4.180933,
"CHE","STINT","TOT","PC_PA","Q","1975-Q3",3.355233,
"CHE","STINT","TOT","PC_PA","Q","1975-Q4",3.3253,
"CHE","STINT","TOT","PC_PA","Q","1976-Q1",1.537933,
"CHE","STINT","TOT","PC_PA","Q","1976-Q2",1.2417,
"CHE","STINT","TOT","PC_PA","Q","1976-Q3",1.302067,
"CHE","STINT","TOT","PC_PA","Q","1976-Q4",2.017833,
"CHE","STINT","TOT","PC_PA","Q","1977-Q1",1.976133,
"CHE","STINT","TOT","PC_PA","Q","1977-Q2",3.521267,
"CHE","STINT","TOT","PC_PA","Q","1977-Q3",2.627533,
"CHE","STINT","TOT","PC_PA","Q","1977-Q4",2.2326,
"CHE","STINT","TOT","PC_PA","Q","1978-Q1",0.6676334,
"CHE","STINT","TOT","PC_PA","Q","1978-Q2",1.043967,
"CHE","STINT","TOT","PC_PA","Q","1978-Q3",0.9977334,
"CHE","STINT","TOT","PC_PA","Q","1978-Q4",0.2167,
"CHE","STINT","TOT","PC_PA","Q","1979-Q1",0.1387667,
"CHE","STINT","TOT","PC_PA","Q","1979-Q2",1.384233,
"CHE","STINT","TOT","PC_PA","Q","1979-Q3",1.571,
"CHE","STINT","TOT","PC_PA","Q","1979-Q4",4.0404,
"CHE","STINT","TOT","PC_PA","Q","1980-Q1",5.705333,
"CHE","STINT","TOT","PC_PA","Q","1980-Q2",6.078267,
"CHE","STINT","TOT","PC_PA","Q","1980-Q3",5.437467,
"CHE","STINT","TOT","PC_PA","Q","1980-Q4",5.860533,
"CHE","STINT","TOT","PC_PA","Q","1981-Q1",7.017433,
"CHE","STINT","TOT","PC_PA","Q","1981-Q2",9.5066,
"CHE","STINT","TOT","PC_PA","Q","1981-Q3",9.787267,
"CHE","STINT","TOT","PC_PA","Q","1981-Q4",10.06977,
"CHE","STINT","TOT","PC_PA","Q","1982-Q1",7.737633,
"CHE","STINT","TOT","PC_PA","Q","1982-Q2",4.653733,
"CHE","STINT","TOT","PC_PA","Q","1982-Q3",4.134467,
"CHE","STINT","TOT","PC_PA","Q","1982-Q4",3.705633,
"CHE","STINT","TOT","PC_PA","Q","1983-Q1",3.0939,
"CHE","STINT","TOT","PC_PA","Q","1983-Q2",4.542967,
"CHE","STINT","TOT","PC_PA","Q","1983-Q3",4.5786,
"CHE","STINT","TOT","PC_PA","Q","1983-Q4",4.1514,
"CHE","STINT","TOT","PC_PA","Q","1984-Q1",3.5666,
"CHE","STINT","TOT","PC_PA","Q","1984-Q2",3.8781,
"CHE","STINT","TOT","PC_PA","Q","1984-Q3",4.8776,
"CHE","STINT","TOT","PC_PA","Q","1984-Q4",5.074567,
"CHE","STINT","TOT","PC_PA","Q","1985-Q1",5.506533,
"CHE","STINT","TOT","PC_PA","Q","1985-Q2",5.2073,
"CHE","STINT","TOT","PC_PA","Q","1985-Q3",4.7406,
